date,close
2015-07-01,2079.649902
2015-06-01,2063.110107
2015-05-01,2107.389893
2015-04-01,2085.51001
2015-03-02,2067.889893
2015-02-02,2104.5
2015-01-02,1994.98999
2014-12-01,2058.899902
2014-11-03,2067.560059
2014-10-01,2018.050049
2014-09-02,1972.290039
2014-08-01,2003.369995
2014-07-01,1930.670044
2014-06-02,1960.22998
2014-05-01,1923.569946
2014-04-01,1883.949951
2014-03-03,1872.339966
2014-02-03,1859.449951
2014-01-02,1782.589966
2013-12-02,1848.359985
2013-11-01,1805.810059
2013-10-01,1756.540039
2013-09-03,1681.550049
2013-08-01,1632.969971
2013-07-01,1685.72998
2013-06-03,1606.280029
2013-05-01,1630.73999
2013-04-01,1597.569946
2013-03-01,1569.189941
2013-02-01,1514.680054
2013-01-02,1498.109985
2012-12-03,1426.189941
2012-11-01,1416.180054
2012-10-01,1412.160034
2012-09-04,1440.670044
2012-08-01,1406.579956
2012-07-02,1379.319946
2012-06-01,1362.160034
2012-05-01,1310.329956
2012-04-02,1397.910034
2012-03-01,1408.469971
2012-02-01,1365.680054
2012-01-03,1312.410034
2011-12-01,1257.599976
2011-11-01,1246.959961
2011-10-03,1253.300049
2011-09-01,1131.420044
2011-08-01,1218.890015
2011-07-01,1292.280029
2011-06-01,1320.640015
2011-05-02,1345.199951
2011-04-01,1363.609985
2011-03-01,1325.829956
2011-02-01,1327.219971
2011-01-03,1286.119995
2010-12-01,1257.640015
2010-11-01,1180.550049
2010-10-01,1183.26001
2010-09-01,1141.199951
2010-08-02,1049.329956
2010-07-01,1101.599976
2010-06-01,1030.709961
2010-05-03,1089.410034
2010-04-01,1186.689941
2010-03-01,1169.430054
2010-02-01,1104.48999
2010-01-04,1073.869995
2009-12-01,1115.099976
2009-11-02,1095.630005
2009-10-01,1036.189941
2009-09-01,1057.079956
2009-08-03,1020.619995
2009-07-01,987.47998
2009-06-01,919.320007
2009-05-01,919.140015
2009-04-01,872.809998
2009-03-02,797.869995
2009-02-02,735.090027
2009-01-02,825.880005
2008-12-01,903.25
2008-11-03,896.23999
2008-10-01,968.75
2008-09-02,1166.359985
2008-08-01,1282.829956
2008-07-01,1267.380005
2008-06-02,1280
2008-05-01,1400.380005
2008-04-01,1385.589966
